CODIGO,DEPARTAMENTO,PROVINCIA,ATM,ANIO,SEMESTRE,ALCALDE,CCPP_TOTAL,CCPP_SERV,CCPP_SIST_AGUA,CCPP_SIST_NCONV,CCPP_SIST_CONV,CCPP_ABAST_CCPP,CCPP_HAB_01,CCPP_HAB_02,CCPP_HAB_03,CCPP_MICROMED,ATM_GESTION,UNIDAD_ORGANICA,MONTO_POI,PRESTADOR_CUOTA,PRESTADOR_CUOTA_INCREM,PRESTADOR_CUOTA_SUNASS
CUE-00010,LA LIBERTAD,TRUJILLO,SIMBAL,2019,SEM-II,WILLIAM GONZALES NARCISO,29,29,14,0,29,8,0,0,0,2,SI,GERENCIA MUNICIPAL,7000.00,13,0,0
CUE-00012,PUNO,LAMPA,PALCA,2019,SEM-II,HUMBERTO SALAZAR MAMANI,34,3,3,31,3,0,0,0,0,0,SI,ASUNTOS SOCIALES,31.64,3,0,0
CUE-00013,CUSCO,ACOMAYO,ACOS,2019,SEM-II,SR LEONIDAS QUISPE TTUPA,15,15,16,2,14,0,0,0,0,0,SI,DEPARTAMENTO DE DESARROLLO SOCIAL Y  GESTIÓN AMBIENTAL,69.000.00,15,0,0
CUE-00014,PUNO,LAMPA,CALAPUJA,2019,SEM-II,ADOLFO SAAVEDRA CAMPOS,34,6,6,0,6,0,0,0,0,0,SI,UNIDAD DE MEDIO AMBIENTE,4995.00,0,0,0
CUE-00015,LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,2019,SEM-II,VICTOR RAUL CRUZADO RIVERA,12,12,12,0,12,1,1,1,1,1,SI,GERENCIA DE INFRAESTRUCTURA DESARROLLO URBANO Y RURAL,60900.00,11,0,0
CUE-00016,PUNO,SAN ROMAN,CABANILLAS,2019,SEM-II,DANIEL AUGUSTO CASTILLO VALDERRAMA,40,20,15,0,14,4,0,0,0,0,SI,SUB GERENCIA DE INFRAESTRUCTURA,50325.00,9,0,0
CUE-00018,CUSCO,QUISPICANCHI,CCATCCA,2019,SEM-II,JESUS YAURI HALLASI,111,57,57,0,54,3,0,0,0,0,SI,SUBGERENCIA DE GESTION AMBIENTAL Y SANEAMIENTO,255064.00,54,0,0
CUE-00019,PUNO,LAMPA,CABANILLA,2019,SEM-II,MIGUEL LUCIANO MESTAS VILCA,103,17,9,0,9,2,0,0,0,0,SI,SUB GERENCIA DE MEDIO AMBIENTE Y ÁREA TÉCNICA MUNICIPAL,65000.00,7,0,0
CUE-00021,PUNO,LAMPA,PARATIA,2019,SEM-II,HERMES CABANA CAJIA,15,8,8,0,8,0,0,0,0,0,SI,PROGRAMAS SOCIALES,26000.00,3,1,0
CUE-00023,CUSCO,QUISPICANCHI,OCONGATE,2019,SEM-II,GRIMALDO QUISPE QQUENAYA,186,93,84,82,2,9,3,3,0,0,SI,SUB GERENCIA DE MEDIO AMBIENTE Y SERVICIOS MUNICIPALES,324187.21,44,3,3
CUE-00024,CUSCO,URUBAMBA,URUBAMBA,2019,SEM-II,LUIS ALBERTO VALCARCEL VILLEGAS,26,15,15,0,15,2,0,0,0,0,SI,GERENCIA DE MEDIO AMBIENTE,164516.28,11,3,0
CUE-00028,LIMA,HUAROCHIRI,SAN JUAN DE TANTARANCHE,2019,SEM-II,ALEJANDRO GERARDO NOLASCO VILLA,31,2,2,0,2,0,0,0,0,0,SI,GERENCIA MUNICIPAL,0.00,0,0,0
CUE-00029,CUSCO,ACOMAYO,POMACANCHI,2019,SEM-II,ERICH QUIROGA NINA,19,19,19,0,19,0,1,1,0,0,SI,SUB GERENCIA DE DESARROLLO SOCIAL,131291.00,18,0,0
CUE-00032,CUSCO,LA CONVENCION,ECHARATE,2019,SEM-II,Alexis Boris Chávez Zeballos,352,254,254,98,254,35,5,5,0,0,SI,GERENCIA DE MEDIO AMBIENTE,1797753.70,180,80,0
CUE-00033,PIURA,SECHURA,VICE,2019,SEM-II,BENJAMIN HUMBERTO GONZALES SANCHEZ,10,6,1,0,1,5,4,3,2,6,SI,GERENCIA DE SERVICIOS COMUNALES,0.00,0,0,0
CUE-00034,PUNO,SANDIA,PHARA,2019,SEM-II,REYNALDO ARHUIRE QUILLA,98,6,6,0,0,0,0,0,0,0,SI,DIRECCION DE INFRAESTRUCTURA Y DESARROLO URBANO  RURAL Y MEDIO AMBIENTE,10.000.00,2,0,0
CUE-00037,CUSCO,PAUCARTAMBO,CAICAY,2019,SEM-II,PROF JUSTINO CONDORI HUANCA,28,28,27,0,27,1,0,0,0,0,SI,SUB GERENCIA DE DESARROLLO SOCIAL,77.00,27,0,0
CUE-00038,CUSCO,QUISPICANCHI,HUARO,2019,SEM-II,ABOG  BERNARDINO CUTIRE MAMANI,31,31,28,0,28,3,1,0,0,0,SI,SUB GERENCIA DE GESTION AMBIENTAL Y RECURSOS NATURALES,88000.00,27,0,0
CUE-00039,LA LIBERTAD,JULCAN,JULCAN,2019,SEM-II,MARCO ANTONIO RODRIGUEZ ESPEJO,59,60,54,0,54,0,1,1,0,0,SI,GERENCIA DE DESARROLLO ECONOMICO Y GESTION AMBIENTAL,91280.00,54,10,0
CUE-00041,CUSCO,QUISPICANCHI,CARHUAYO,2019,SEM-II,EFRAIN APARICIO HOLGADO,72,18,18,3,15,1,0,0,0,0,SI,SUB GERENCIA DE DESARROLLO SOCIAL Y SERVICIOS MUNICIPALES,27625.00,14,6,0
CUE-00042,SAN MARTIN,SAN MARTIN,JUAN GUERRA,2019,SEM-II,VICTOR FLORES PAREDES,33,2,2,0,2,0,1,1,0,0,SI,ALCALDIA,1.00,1,0,0
CUE-00043,CUSCO,ACOMAYO,ACOPIA,2019,SEM-II,SR ARMANDO YUCRA VILCA,6,6,6,0,6,1,0,0,0,0,SI,SUB GERENCIA DE DESARROLLO SOCIAL,25000.00,6,0,0
CUE-00044,PUNO,MELGAR,NUNOA,2019,SEM-II,HUGO AGUILAR CARLO,224,17,16,16,0,1,0,0,0,0,SI,SUB GERENCIA DE DESARROLLO Y MEDIO AMBIENTE,50200.00,11,,1
CUE-00046,CUSCO,QUISPICANCHI,URCOS,2019,SEM-II,Sr  Manuel Jesus Sutta Pfocco,23,23,22,1,22,0,0,0,0,0,SI,Gerencia de Medio Ambiente y Servicios Municipales,238041.00,22,0,2
CUE-00047,CUSCO,ACOMAYO,ACOMAYO,2019,SEM-II,ALEJANDRO PUMACHAPI SUTTA,22,22,22,0,22,2,1,1,1,0,SI,SUB GERENCIA DE MEDIO AMBIENTE Y RECURSOS NATURALES,187300.00,18,0,0
CUE-00048,CUSCO,CALCA,PISAQ,2019,SEM-II,FEDERICO ZAMALLOA CASTRO,31,31,26,4,15,0,1,1,0,0,SI,SUB GERENCIA DE SERVICIOS SOCIAL SERVICIOS PÚBLICOS Y MEDIO AMBIENTE,215000.00,14,0,0
CUE-00049,SAN MARTIN,SAN MARTIN,BANDA DE SHILCAYO,2019,SEM-II,JOSE AUGUSTO DELAGUILA GARCIA,32,16,16,17,16,0,1,1,0,0,SI,Gerencia de desarrollo urbano rural,0.00,5,0,0
CUE-00050,PUNO,SAN ANTONIO DE PUTINA,PEDRO VILCAPAZA,2019,SEM-II,JUSTINO QUISPE MALDONADO,59,29,11,0,11,18,0,0,0,0,SI,DESARROLLO SOCIAL Y ECONOMICO,33 000.00,11,1,0
CUE-00052,CUSCO,QUISPICANCHI,CUSIPATA,2019,SEM-II,EDGAR MESCCO MAZA,41,41,19,0,19,22,0,0,1,0,SI,SUB GERENCIA DE MEDIO AMBIENTE,72634.00,12,5,0
CUE-00054,CUSCO,CALCA,TARAY,2019,SEM-II,WILBERT MIGUEL DELGADO GASPAR,14,14,12,1,13,3,0,0,0,1,SI,SUB GERENCIA DE DESARROLLO SOCIAL,102000.00,12,2,0
CUE-00055,CUSCO,CALCA,COYA,2019,SEM-II,MARIO WILIAN MORA VASQUEZ,27,8,8,4,4,0,0,0,0,0,SI,SUB GERENCIA DE DESARROLLO SOCIAL,110000.00,8,0,0
CUE-00058,LIMA,HUAURA,SAYAN,2019,SEM-II,FELIX CARRILO DIESTRA,176,23,16,0,16,7,3,3,0,3,SI,GERENCIA DE OBRAS PUBLICAS Y PRIVADAS,30.00,10,2,0
CUE-00059,LIMA,CAJATAMBO,MANAS,2019,SEM-II,EDSON SAUL LOLI ARREDONDO,86,4,4,0,4,0,0,0,0,0,SI,SUB GERENCIA DE SERVICIOS DE AGUA Y SANEAMIENTO,25299.00,0,0,0
CUE-00061,CUSCO,CUSCO,SAYLLA,2019,SEM-II,ABOG RODOLFO  KCANA HUAMAN,16,16,8,1,7,8,0,0,0,0,SI,SUB GERENCIA DE MEDIO AMBIENTE,110.000.00,8,0,0
CUE-00063,LIMA,HUAROCHIRI,SANGALLAYA,2019,SEM-II,MARCELINO ARMANDO VALENCIA TELLO,42,5,5,0,5,0,0,0,0,0,SI,AREA DE SERVIVIOS SOCIALES Y COMUNALES,8000.00,3,0,0
CUE-00066,PUNO,PUNO,ATUNCOLLA,2019,SEM-II,CEFERINO FLORES CHAVEZ,70,40,3,0,0,37,0,0,0,0,SI,AREA DE DESARROLLO SOCIAL Y MEDIO AMBIENTE,25000.00,3,2,0
CUE-00069,CUSCO,QUISPICANCHI,OROPESA,2019,SEM-II,TIMOTEO QUISPE HUAMAN,13,13,13,0,13,0,3,3,0,0,SI,SUB GERENCIA DE MEDIO AMBIENTE,76000.00,10,2,0
CUE-00071,PUNO,HUANCANE,COJATA,2019,SEM-II,WILIAM TEISON QUITO FLORES,76,5,5,0,5,0,1,1,0,0,SI,sub gerencia de infraestructura,23368.00,4,1,1
CUE-00075,CUSCO,ACOMAYO,SANGARARA,2019,SEM-II,SR GREGORIO CRUZ PUMACHAPI,6,6,6,1,5,0,0,0,0,0,SI,SUB GERENCIA DE DESARROLLO SOCIAL,21385.00,5,0,0
CUE-00076,CUSCO,ANTA,HUAROCONDO,2019,SEM-II,ROMMEL EDMUNDO SILVA PILCO,104,18,18,86,18,6,1,1,0,0,SI,SUB GERENCIA DE DESARROLLO ECONÓMICO SOCIAL Y MEDIO AMBIENTE,50000.00,16,3,0
CUE-00083,LIMA,BARRANCA,BARRANCA,2019,SEM-II,RICARDO RONALD ZENDER SANCHEZ,38,28,27,1,8,3,1,1,0,0,SI,GERENCIA DE DESARROLLO URBANO Y TERRITORIAL,0.00,2,0,0
CUE-00085,LIMA,OYON,ANDAJES,2019,SEM-II,OTTMAR CORNEJO CHAVARRIA,27,3,3,0,3,3,0,0,0,0,SI,OBRAS Y DESARROLO URBANO,1800.00,1,0,0
CUE-00095,PIURA,HUANCABAMBA,SONDOR,2019,SEM-II,FELIX GUSTAVO GUERRERO BURNEO,29,24,24,11,13,2,0,0,0,0,SI,SUB GERENCIA DE DESARROLLO SOCIO ECONOMICO,80 7520 60,8,2,0
CUE-00100,PIURA,AYABACA,LAGUNAS,2019,SEM-II,HUMBERTO MARCHENA VILLEGAS,54,53,46,0,0,2,0,0,0,0,SI,UNIDAD DE SERVICIOS SOCIALES LOCALES Y MEDIO AMBIENTALES,92 937.00,18,0,0
CUE-00111,PUNO,AZANGARO,AZANGARO,2019,SEM-II,FLAVIO JESUS MAMANI HANCO,151,38,28,37,28,10,1,1,0,1,SI,GERENCIA DE SERVICIOS MUNICIPALES Y GESTIÓN AMBIENTAL,48997.00,15,0,0
CUE-00112,PUNO,AZANGARO,TIRAPATA,2019,SEM-II,UBALDO  GERMAN POMALEQUE MANGO,32,5,5,0,0,0,0,0,0,0,SI,OFICINA DE INFRAESTRUCTURA Y OBRAS PUBLICAS,13 575.00,1,0,0
CUE-00113,PIURA,SECHURA,SECHURA,2019,SEM-II,Justo Eche Morales,36,28,2,0,2,10,2,2,1,0,NO,,,0,0,0
CUE-00114,PIURA,SECHURA,BERNAL,2019,SEM-II,Boris Alexander Montaño Tume,15,15,1,0,15,11,1,1,1,0,SI,División de desarrollo económico turismo y medio ambiente,0.00,0,0,0
CUE-00118,PIURA,SECHURA,BELLAVISTA DE LA UNION,2019,SEM-II,Felix Cherre Bayona,9,6,1,0,1,5,1,1,0,1,SI,Sub gerencia de salud y medio ambiente,0.00,3,0,0
CUE-00120,CUSCO,CHUMBIVILCAS,COLQUEMARCA,2019,SEM-II,SR CEFERINO HENRY ROMERO PALMA,48,48,48,0,48,0,1,1,0,0,SI,SUB GERENCIA DE GESTION AMBIENTAL,261 551.00,45,0,0
CUE-00122,PUNO,SAN ANTONIO DE PUTINA,SAN ANTONIO DE PUTINA,2019,SEM-II,YOLINDA BARRANTES QUENALLATA,48,22,11,0,10,11,0,0,0,0,SI,SUB GERENCIA DE SERVICIOS Y GESTIÓN AMBIENTAL,137300.00,5,0,2
CUE-00126,PUNO,SAN ANTONIO DE PUTINA,ANANEA,2019,SEM-II,LEONARDO HUANCA MAMANI,122,7,6,0,6,0,2,1,0,0,SI,SUB GERENCIA DE DESARROLLO ECONOMICO Y MEDIO AMBIENTE,80000.00,0,0,0
CUE-00130,TUMBES,ZARUMILLA,PAPAYAL,2019,SEM-II,Wilson Alfredo Collantes Mogollón,12,10,10,1,3,1,1,1,0,0,SI,SALUD Y MEDIO AMBIENTE,36000.00,4,1,0
CUE-00131,CUSCO,CHUMBIVILCAS,LLUSCO,2019,SEM-II,Sr ERMITAÑO ALVIS CUBA,139,39,32,7,32,0,0,0,0,0,SI,SUB GERENCIA DE DESARROLLO ECONOMICO LOCAL Y GESTION AMBIENTAL,132456.00,39,0,2
CUE-00132,CUSCO,ANTA,ZURITE,2019,SEM-II,ALBERTO TUCO PAUCARMAYTA,31,22,9,0,9,13,0,0,0,0,SI,DESARROLLO SOCIAL Y SERVICIOS PÚBLICOS,91696.00,8,0,0
CUE-00134,TUMBES,TUMBES,PAMPAS DE HOSPITAL,2019,SEM-II,Samuel Edmundo Pacheco Marchan,18,17,6,4,2,11,0,0,0,0,SI,OFICINA DE MEDIO AMBIENTE Y SALUD PUBLICA,22830.00,5,4,5
CUE-00136,TUMBES,ZARUMILLA,AGUAS VERDES,2019,SEM-II,FRANKLIN MARIO SILUPU TELLO,7,5,4,0,0,3,0,0,0,0,SI,SUBGERENCIA DE GESTIÓN AMBIENTAL Y SALUBRIDAD,18622.00,4,0,0
CUE-00137,CUSCO,CHUMBIVILCAS,QUINOTA,2019,SEM-II,OSCAR TORCUATO CHAHUA MARQUEZ,97,28,30,2,28,0,0,0,0,0,SI,AREA DE DESARROLLO SOCIAL,1000000.00,30,0,0
CUE-00138,PUNO,CHUCUITO,POMATA,2019,SEM-II,ANA MARIA YUPANQUI MENDOZA,58,42,32,0,0,5,0,0,0,2,SI,SUBGERENCIA DE DESARROLLO SOCIAL,89800.00,15,15,0
CUE-00140,PUNO,CHUCUITO,HUACULLANI,2019,SEM-II,BASILIO MENDOZA URIARTE,73,50,27,0,27,18,0,0,0,0,SI,SUB GERENCIA DE DESARROLLO URBANO RURAL E INFRAESTRUCTURA,153 811.00,18,0,0
CUE-00141,CUSCO,ANTA,CHINCHAYPUCYO,2019,SEM-II,Franklin Estrada Gallegos,112,48,41,7,41,2,0,0,0,0,SI,Sub gerencia de Desarrollo social servicios publicos y medio ambiente,23000.00,41,3,0
CUE-00146,TUMBES,TUMBES,SAN JUAN DE LA VIRGEN,2019,SEM-II,RUBY GRABIELA VILLANUEVA DIOSES,8,4,4,0,4,3,0,0,0,0,SI,GERENCIA MUNICIPAL,0.00,0,0,0
CUE-00147,TUMBES,CONTRALMIRANTE VILLAR,CASITAS,2019,SEM-II,LEONCIO CLAVIJO SANCHEZ,28,23,7,3,20,15,0,0,0,0,SI,GERENCIA DE SERVICIOS PUBLICOS,130080.00,4,0,0
CUE-00150,PUNO,LAMPA,PUCARA,2019,SEM-II,LEONARDO  ARPI  INOFUENTE,53,16,16,0,16,0,0,0,0,0,SI,SUB GERENCIA DE SOSTENIBILIDAD TERRITORIAL,12000.00,10,0,0
CUE-00151,PIURA,MORROPON,MORROPON,2019,SEM-II,Nadezhda Yekaterine Lopez Orozco,26,26,11,0,11,7,1,1,0,1,SI,Sub Gerencia de Desarrollo Urbano Rural e Infraestructura,0.00,10,0,0
CUE-00156,TUMBES,TUMBES,SAN JACINTO,2019,SEM-II,CESAR YOEL FEIJOO CARRILLO,27,15,7,,,8,1,1,0,5,SI,SUBGERNCIA DE SERVICIOS PUBLICOS Y PROTECCION DEL MEDIO AMBIENTE,13675.00,6,4,0
CUE-00160,PUNO,MOHO,MOHO,2019,SEM-II,JUAN JOSE TINTA MAMANI,179,115,100,0,115,19,1,1,0,0,SI,OFICINA DE DESARROLLO ECONOMICO LOCAL Y MEDIO AMBIENTE,37420.00,0,0,0
CUE-00161,PUNO,LAMPA,NICASIO,2019,SEM-II,MAURO PUMA COLLANQUE,30,7,3,0,1,0,0,0,0,0,SI,SUB GERENCIA DE DESARROLLO ECONOMICO Y MEDIO AMBIENTE,11500.00,0,0,0
CUE-00166,PUNO,SAN ROMAN,CARACOTO,2019,SEM-II,RAYMUNDO YANA YANA,89,11,5,,,3,1,1,0,0,SI,MEDIO AMBIENTE,1000.00,5,,
CUE-00169,PUNO,LAMPA,VILA VILA,2019,SEM-II,ROGATO MODESTO PACCO CUTIPA,45,4,4,0,4,0,0,0,0,0,SI,OFICINA DE DESARROLLO SOCIAL,67300.00,1,0,0
CUE-00174,PIURA,SULLANA,MIGUEL CHECA,2019,SEM-II,Olemar Mejias Jimenez,10,4,1,,,3,2,2,2,0,NO,,,0,0,0
CUE-00181,LA LIBERTAD,ASCOPE,ASCOPE,2019,SEM-II,JOHN VARGAS CAMPOS,22,9,5,0,5,2,1,1,0,0,SI,SUB GERENCIA DE SANEAMIENTO AMBIENTAL,99462.00,3,0,0
CUE-00189,PIURA,PAITA,PAITA,2019,SEM-II,TEODORO ALVARADO ALAYA,6,6,1,,,3,3,1,0,1,NO,,,0,0,0
CUE-00191,CUSCO,CHUMBIVILCAS,VELILLE,2019,SEM-II,ECON ANTONIO TOLEDO PRIETO,320,94,61,33,31,0,1,1,0,0,SI,SUB GERENCIA DE GESTION AMBIENTAL Y TERRIRORIAL,261556.00,4,0,0
CUE-00197,CUSCO,PARURO,PARURO,2019,SEM-II,WILBERTH VILLACORTA VILLACORTA,61,29,29,0,29,10,0,0,0,0,SI,SUB GERENCIA DE GESTIÓN AMBIENTAL Y RECURSOS NATURALES,203124.00,13,0,0
CUE-00198,LIMA,HUAURA,PACCHO,2019,SEM-II,JOSUE SERAFIN CLAROS FLORES,49,5,5,0,5,0,0,0,0,0,SI,GESTION Y MEDIO AMBIENTE,30.36,1,0,0
CUE-00200,PUNO,AZANGARO,SAN JOSE,2019,SEM-II,HERMOGENES HUARICALLO QUISPE,82,12,15,0,,0,0,0,0,0,SI,OFICINA DE MEDIO AMBIENTE Y SERVICIOS PÚBLICOS,33800.00,4,0,0
CUE-00207,PUNO,SANDIA,CUYO CUYO,2019,SEM-II,UBALDO OCHOCHOQUE MAMANI,58,20,18,0,0,0,0,0,0,0,SI,SUB GERENCIA DE INFRAESTRUCTURA Y DESARROLLO LOCAL,56693.00,5,0,0
CUE-00208,CUSCO,CHUMBIVILCAS,SANTO TOMAS,2019,SEM-II,MARCOS IBARRA SUAREZ,448,448,153,32,121,32,1,1,0,0,SI,GERENCIA DE GESTIÓN AMBIENTAL,264.000.00,90,3,0
CUE-00210,JUNIN,JAUJA,YAULI,2019,SEM-II,Edgar Cergio Salazar Romero,53,3,3,0,3,0,0,0,0,0,SI,Sub Gerencia de Infraestructura Desarrollo UrbanoRural y Medio Ambiente,3000.00,3,0,0
CUE-00211,CUSCO,CHUMBIVILCAS,CHAMACA,2019,SEM-II,ANTONIO HUAMAN ARIAS,34,34,34,0,34,0,0,0,0,0,SI,SUG GERENCIA DE GESTION AMBIENTAL Y SAMEAMIENTO,155020.00,34,0,0
CUE-00219,PUNO,SANDIA,SANDIA,2019,SEM-II,VICTOR ADAN MALAGA CARCASI,59,32,32,0,32,3,1,1,0,0,SI,SUB GERENCIA DE MEDIO AMBIENTE Y RECURSOS NATURALES,50.974.47,15,0,5
CUE-00221,CUSCO,CHUMBIVILCAS,LIVITACA,2019,SEM-II,RONY EDGAR ALMORA DAVALOS,249,249,81,32,49,17,1,1,0,1,SI,GERENCIA MUNICIPAL,321 670.00,48,0,0
CUE-00227,PUNO,PUNO,PAUCARCOLLA,2019,SEM-II,JHON IBEROS APAZA,100,36,4,0,4,3,0,0,0,0,SI,SUB GERENCIA DE INFRAESTRUCTURA Y DESARROLLO URBANO Y RURAL,27640.00,4,0,0
CUE-00232,PASCO,OXAPAMPA,HUANCABAMBA,2019,SEM-II,Magdaleno Juan Quintana Alania,72,46,32,0,32,14,1,1,0,0,SI,Gerencia de Medio Ambiente y Servicios Públicos,40204.10,28,3,5
CUE-00233,PUNO,CHUCUITO,ZEPITA,2019,SEM-II,HUGO GILDRES MIRANDA MONASTERIO,182,182,182,100,81,80,1,1,1,1,SI,SUB GERENCIA DE DESARROLLO ECONOMICO,75447.00,74,15,0
CUE-00238,LIMA,HUAURA,SANTA LEONOR,2019,SEM-II,ALEJANDRINO ELIAS RETUERTO ROSAS,102,5,5,0,5,0,0,0,0,0,SI,SERVICIOS DE AGUA Y SANEAMIENTO,58.31,1,0,0
